1	2	3	prot_copies
0	0	0	0
0	0	0	1
0	0	0	2
0	0	0	3
0	0	0	4
0	1	0	5
0	0	0	6
0	1	0	7
0	3	0	8
0	8	0	9
0	17	0	10
0	14	0	11
0	20	0	12
0	31	0	13
0	38	0	14
0	44	0	15
0	64	0	16
0	81	0	17
0	101	0	18
0	111	0	19
0	151	0	20
0	177	0	21
0	197	0	22
0	230	0	23
0	273	0	24
0	301	0	25
0	362	0	26
0	400	0	27
0	437	0	28
0	502	0	29
0	572	0	30
2	648	0	31
1	690	0	32
0	717	0	33
2	815	0	34
1	894	0	35
4	951	0	36
6	1020	0	37
7	993	0	38
4	1072	0	39
8	1155	0	40
11	1219	0	41
9	1276	0	42
20	1393	0	43
26	1394	0	44
24	1436	0	45
20	1465	0	46
33	1513	0	47
34	1576	0	48
52	1634	0	49
59	1689	1	50
65	1588	1	51
58	1650	0	52
78	1800	0	53
87	1664	0	54
102	1773	0	55
91	1778	1	56
132	1831	1	57
162	1762	0	58
162	1776	0	59
171	1676	0	60
201	1731	0	61
191	1690	1	62
234	1648	0	63
226	1641	1	64
266	1722	0	65
285	1613	1	66
330	1689	1	67
363	1625	0	68
360	1615	0	69
398	1548	1	70
391	1546	1	71
455	1548	0	72
485	1484	0	73
536	1484	0	74
587	1436	0	75
573	1330	1	76
613	1271	0	77
695	1285	0	78
728	1278	2	79
754	1230	0	80
746	1170	2	81
770	1082	1	82
821	1061	1	83
822	1022	1	84
901	995	1	85
938	1006	1	86
950	963	1	87
1024	894	4	88
971	839	1	89
1000	830	3	90
1083	809	2	91
1108	781	0	92
1195	748	6	93
1186	680	1	94
1245	673	3	95
1269	655	0	96
1312	614	1	97
1282	548	5	98
1273	556	3	99
1254	532	4	100
1311	483	0	101
1345	464	3	102
1357	438	1	103
1341	408	4	104
1409	375	4	105
1358	356	2	106
1387	343	5	107
1466	345	3	108
1475	301	5	109
1466	292	4	110
1471	296	6	111
1419	247	4	112
1414	260	5	113
1374	222	7	114
1435	218	5	115
1375	195	4	116
1309	218	8	117
1331	185	9	118
1360	157	2	119
1322	176	6	120
1304	149	8	121
1290	156	4	122
1261	133	8	123
1247	125	12	124
1263	125	5	125
1197	109	9	126
1237	122	5	127
1193	100	12	128
1176	77	7	129
1140	89	9	130
1190	78	16	131
1092	54	11	132
1076	64	16	133
1021	46	14	134
985	57	18	135
907	57	24	136
927	41	15	137
908	35	17	138
913	45	12	139
856	34	18	140
831	34	12	141
792	35	14	142
761	35	14	143
758	25	19	144
741	30	17	145
688	21	12	146
687	29	15	147
697	25	20	148
670	16	25	149
541	18	17	150
614	15	19	151
551	12	17	152
558	15	20	153
531	15	27	154
492	13	22	155
452	6	25	156
443	8	18	157
409	12	23	158
394	10	24	159
423	6	34	160
385	7	29	161
353	8	35	162
341	5	29	163
325	6	25	164
306	8	29	165
305	7	34	166
288	1	36	167
241	8	23	168
244	2	30	169
245	2	40	170
251	4	36	171
198	0	42	172
193	1	29	173
177	1	44	174
204	2	53	175
170	3	31	176
149	2	42	177
165	1	49	178
144	3	43	179
135	3	31	180
119	1	47	181
138	0	42	182
111	0	45	183
102	1	35	184
108	0	41	185
95	1	53	186
82	1	52	187
77	1	54	188
79	1	54	189
72	1	51	190
76	1	54	191
74	1	68	192
57	1	55	193
55	1	64	194
48	0	75	195
43	1	64	196
42	0	62	197
53	1	61	198
36	0	72	199
48	0	66	200
41	0	64	201
33	0	69	202
39	0	67	203
26	0	78	204
24	2	76	205
22	0	78	206
14	0	79	207
21	0	71	208
24	0	88	209
12	0	77	210
15	0	82	211
14	0	107	212
15	0	92	213
11	0	91	214
15	0	102	215
11	0	107	216
18	0	90	217
12	0	105	218
7	0	96	219
6	0	118	220
9	0	99	221
4	0	116	222
4	0	88	223
5	0	93	224
5	0	100	225
10	0	114	226
8	0	112	227
6	0	116	228
3	0	114	229
4	0	131	230
2	0	121	231
1	0	119	232
3	0	132	233
1	0	109	234
2	0	138	235
3	0	142	236
2	0	137	237
0	0	131	238
0	0	149	239
0	0	148	240
1	0	157	241
3	0	144	242
0	0	145	243
2	0	165	244
1	0	172	245
2	0	159	246
0	0	153	247
1	0	182	248
2	0	173	249
2	0	154	250
0	0	177	251
0	0	169	252
1	0	169	253
0	0	197	254
0	0	153	255
0	0	198	256
1	0	190	257
1	0	193	258
0	0	172	259
0	0	181	260
1	0	196	261
0	0	224	262
0	0	206	263
1	0	220	264
0	0	187	265
0	0	206	266
0	0	214	267
0	0	244	268
0	0	251	269
0	0	229	270
0	0	251	271
0	0	219	272
0	0	205	273
0	0	242	274
1	0	225	275
0	0	241	276
0	0	241	277
0	0	253	278
0	0	257	279
0	0	244	280
1	0	245	281
0	0	265	282
0	0	270	283
0	0	270	284
0	0	268	285
0	0	272	286
0	0	272	287
0	0	303	288
0	0	292	289
0	0	280	290
0	0	266	291
0	0	316	292
0	0	298	293
0	0	307	294
0	0	313	295
0	0	294	296
0	0	321	297
0	0	284	298
