1	2	3	prot_copies
0	2414	5	0
0	2303	16	1
0	2232	46	2
0	2206	74	3
0	2136	110	4
0	2096	198	5
1	2054	230	6
1	2035	299	7
3	1996	363	8
0	1893	505	9
1	1925	577	10
6	1814	679	11
12	1758	830	12
18	1711	891	13
15	1732	1028	14
22	1649	1153	15
27	1565	1249	16
19	1618	1298	17
52	1583	1476	18
60	1477	1560	19
78	1423	1586	20
94	1422	1643	21
112	1417	1761	22
134	1317	1842	23
153	1394	1773	24
192	1315	1903	25
191	1307	1924	26
241	1247	1948	27
270	1201	2024	28
344	1169	2091	29
344	1124	2094	30
433	1051	2081	31
453	1117	2071	32
542	1039	2071	33
588	1072	2115	34
681	1023	2000	35
701	1038	1966	36
750	961	2054	37
867	1035	1912	38
897	991	2011	39
990	914	1863	40
1057	859	1849	41
1136	871	1723	42
1263	850	1754	43
1316	837	1777	44
1361	737	1721	45
1526	791	1628	46
1450	759	1666	47
1616	759	1501	48
1724	746	1453	49
1809	729	1432	50
1872	690	1398	51
1970	657	1364	52
2048	690	1359	53
1958	704	1262	54
2077	625	1233	55
2094	596	1151	56
2167	599	1127	57
2206	617	1070	58
2216	627	998	59
2260	580	998	60
2264	523	933	61
2287	511	894	62
2222	516	887	63
2137	501	874	64
2212	506	786	65
2196	464	778	66
2282	447	760	67
2131	490	651	68
2154	427	673	69
2005	436	619	70
1972	430	563	71
1939	411	603	72
1901	386	536	73
1809	378	501	74
1720	366	482	75
1670	402	429	76
1613	353	440	77
1463	363	400	78
1468	335	366	79
1381	341	343	80
1350	323	367	81
1257	330	308	82
1125	326	272	83
1060	319	299	84
1017	317	275	85
964	303	237	86
870	282	249	87
822	294	227	88
749	262	218	89
695	286	188	90
643	253	193	91
578	261	195	92
552	269	157	93
545	250	172	94
480	238	151	95
423	222	139	96
379	251	151	97
351	262	135	98
311	200	115	99
274	204	119	100
266	209	108	101
212	211	93	102
220	188	92	103
178	207	82	104
169	204	83	105
149	179	64	106
146	180	65	107
108	178	48	108
90	177	63	109
74	168	43	110
108	164	61	111
66	165	51	112
72	161	52	113
57	164	36	114
40	144	44	115
45	135	32	116
39	126	37	117
47	157	48	118
36	134	31	119
20	129	30	120
20	139	15	121
18	116	21	122
18	112	29	123
12	141	14	124
14	132	17	125
14	119	13	126
9	103	20	127
11	102	14	128
7	104	15	129
7	90	17	130
8	107	17	131
1	111	16	132
4	103	7	133
4	110	12	134
5	88	9	135
4	83	6	136
2	100	9	137
2	86	12	138
1	85	9	139
4	101	4	140
2	74	5	141
0	65	5	142
0	79	4	143
0	81	8	144
0	76	1	145
0	63	5	146
1	74	6	147
0	68	7	148
0	69	1	149
0	73	5	150
0	58	2	151
0	60	0	152
1	56	4	153
0	50	2	154
0	53	0	155
0	58	3	156
0	52	3	157
0	65	4	158
0	57	2	159
0	44	4	160
0	55	2	161
0	37	5	162
0	61	1	163
0	47	1	164
0	49	1	165
0	37	1	166
0	43	0	167
0	52	1	168
0	38	0	169
0	44	0	170
0	49	1	171
0	34	0	172
0	24	1	173
