1	2	3	mRNA_copies
6039	47661	1788	0
15487	34804	7473	1
21744	13192	14529	2
21006	3479	19336	3
16176	734	19606	4
10163	106	15680	5
5326	19	10352	6
2457	5	6040	7
989	0	3041	8
413	0	1356	9
140	0	525	10
40	0	179	11
15	0	60	12
5	0	28	13
0	0	5	14
0	0	2	15
0	0	0	16
0	0	0	17
0	0	0	18
0	0	0	19
0	0	0	20
0	0	0	21
0	0	0	22
0	0	0	23
0	0	0	24
0	0	0	25
0	0	0	26
0	0	0	27
0	0	0	28
0	0	0	29
0	0	0	30
0	0	0	31
0	0	0	32
0	0	0	33
0	0	0	34
0	0	0	35
0	0	0	36
0	0	0	37
0	0	0	38
0	0	0	39
0	0	0	40
0	0	0	41
0	0	0	42
0	0	0	43
0	0	0	44
0	0	0	45
0	0	0	46
0	0	0	47
0	0	0	48
0	0	0	49
